ItemIndex,Id,CategoryIdx,ColorIdx,GraphicIdx,NormPrice
0,1,114,46,29,0.0
1,2,16,46,29,0.13698004657321586
2,3,78,46,29,0.27396009314643166
3,4,45,46,29,0.2283000776220264
4,5,35,46,29,0.09132003104881059
5,6,16,46,29,0.2694397516095156
6,7,0,46,29,0.4520798137071368
7,8,78,46,29,1.0
8,9,114,46,29,0.2237797360851103
9,10,78,46,29,0.40641979818273144
10,11,16,46,29,0.29683576092415875
11,12,114,46,29,0.5890598602803526
12,13,45,46,29,0.7260399068535685
13,14,78,46,29,0.7716999223779737
14,15,16,46,29,0.2055157298753482
15,16,0,46,29,0.178119720560705
16,17,114,46,29,0.06853568330213233
17,18,0,46,29,0.1141956988265376
18,19,35,46,29,0.4520798137071368
19,20,16,46,29,0.1598557143509429
20,108775015,127,1,25,0.0
21,108775044,127,47,25,0.0
22,108775051,127,29,26,0.0
23,110065001,17,1,25,0.0
24,110065002,17,47,25,0.0
25,110065011,17,19,25,0.0
26,111565001,121,1,25,0.0
27,111565003,100,0,25,0.0
28,111586001,65,1,25,0.0
29,111593001,121,1,25,0.0
30,111609001,121,1,25,0.0
31,112679048,105,17,0,0.0
32,112679052,105,20,0,0.0
33,114428026,17,47,26,0.0
34,114428030,17,22,25,0.0
35,116379047,113,5,25,0.0
36,118458003,118,7,15,0.0
37,118458004,118,17,15,0.0
38,118458028,118,1,25,0.0
39,118458029,118,7,15,0.0
40,118458034,118,40,25,0.0
41,118458038,118,1,15,0.0
42,118458039,118,5,15,0.0
43,120129001,65,1,25,0.0
44,120129014,65,1,15,0.0
45,120129018,65,11,25,0.0
46,120129025,65,7,0,0.0
47,123173001,65,1,25,0.0
48,126589006,49,1,25,0.0
49,126589007,49,18,27,0.0
50,126589010,49,23,17,0.0
51,126589011,49,43,17,0.0
52,126589012,49,14,17,0.0
53,129085001,65,1,25,0.0
54,129085026,65,47,25,0.0
55,129085027,65,17,15,0.0
56,130035001,119,1,25,0.0
57,141661022,83,47,1,0.0
58,141661025,83,24,1,0.0
59,144993001,121,1,25,0.0
60,145872001,105,1,25,0.0
61,145872037,105,7,15,0.0
62,145872043,105,47,25,0.0
63,145872051,113,1,15,0.0
64,145872052,105,5,15,0.0
65,145872053,105,7,15,0.0
66,146706001,13,47,25,0.0
67,146706004,13,47,25,0.0
68,146706005,13,22,25,0.0
69,146721001,50,14,25,0.0
70,146721002,50,43,25,0.0
71,146730001,65,1,25,0.0
72,147339034,13,47,0,0.0
73,148033001,65,1,25,0.0
74,148033006,100,0,25,0.0
75,150959011,118,1,25,0.0
76,150959013,118,7,25,0.0
77,153115019,17,1,25,0.0
78,153115020,17,19,25,0.0
