UserIndex,ItemIndex,Label
1,40199,1
1,10540,1
2,6407,1
2,46324,1
2,46325,1
2,46322,1
2,6406,1
6,47436,1
6,5964,1
6,22560,1
6,47443,1
6,47435,1
7,9246,1
7,9136,1
8,6086,1
8,6086,1
8,42977,1
8,42102,1
8,42102,1
8,31382,1
8,31382,1
8,31382,1
8,31382,1
8,44489,1
8,43427,1
8,43427,1
8,46323,1
8,46323,1
8,44675,1
8,44675,1
8,48569,1
8,48569,1
8,34152,1
8,34152,1
8,40437,1
8,40437,1
8,44677,1
8,44677,1
8,12423,1
8,12423,1
8,1800,1
8,1800,1
8,52212,1
8,52212,1
12,2160,1
19,36933,1
19,41833,1
21,31311,1
21,14316,1
22,36080,1
22,18705,1
22,30758,1
22,29430,1
23,47328,1
26,42615,1
26,3729,1
26,3729,1
32,26558,1
32,26558,1
32,27658,1
32,43826,1
36,25562,1
36,31964,1
36,35905,1
36,2780,1
36,15562,1
36,15614,1
36,44891,1
36,25558,1
36,17448,1
36,28328,1
36,26559,1
37,6661,1
37,40743,1
41,275,1
41,275,1
41,6252,1
41,6252,1
42,39854,1
46,33981,1
51,29707,1
51,6719,1
51,13987,1
51,39103,1
52,25091,1
52,18277,1
52,42646,1
52,43352,1
52,25088,1
57,547,1
57,21664,1
57,7719,1
59,8663,1
62,32174,1
62,32776,1
62,31996,1
65,9685,1
67,38961,1
69,11449,1
70,24811,1
71,37140,1
71,26926,1
71,28237,1
71,33604,1
78,31979,1
78,33979,1
78,15091,1
78,26892,1
78,2837,1
78,21025,1
79,3113,1
80,40736,1
81,18314,1
81,40070,1
86,43508,1
87,14958,1
87,37881,1
87,37883,1
88,55388,1
88,31713,1
88,42015,1
92,24869,1
92,158,1
92,24868,1
93,24661,1
95,43077,1
97,22527,1
98,38074,1
98,20142,1
99,25264,1
99,24857,1
99,10309,1
99,39875,1
104,14274,1
105,834,1
107,30253,1
107,10946,1
108,29112,1
108,12336,1
108,30696,1
110,9074,1
110,21632,1
110,23229,1
111,42031,1
114,34983,1
116,375,1
117,43787,1
117,42107,1
117,28158,1
117,43788,1
117,26764,1
117,38332,1
118,873,1
119,22540,1
119,39660,1
120,18888,1
120,14856,1
120,14854,1
120,42647,1
120,7301,1
120,137,1
122,44867,1
122,44866,1
129,44092,1
129,36854,1
131,46325,1
131,44092,1
131,26309,1
131,16147,1
131,34084,1
134,24856,1
134,22749,1
134,27458,1
134,45878,1
134,34114,1
134,39664,1
134,45877,1
135,39875,1
135,12950,1
136,32058,1
136,24227,1
138,17039,1
138,43799,1
138,43799,1
143,23776,1
143,10036,1
143,24573,1
143,28261,1
143,10022,1
143,26764,1
143,37926,1
143,18296,1
143,22965,1
151,37680,1
151,43747,1
152,34421,1
152,46318,1
159,8670,1
159,29999,1
159,41081,1
159,43121,1
164,37276,1
168,33992,1
168,31967,1
168,8375,1
168,24231,1
172,36683,1
172,36683,1
172,36683,1
175,18796,1
175,18796,1
175,30648,1
175,12463,1
175,38332,1
175,24329,1
175,24329,1
175,7965,1
175,16012,1
176,18212,1
177,39288,1
178,18842,1
180,20848,1
181,12803,1
181,29707,1
181,13083,1
181,4924,1
181,16160,1
181,9783,1
181,2302,1
181,20865,1
181,3048,1
181,9333,1
185,44156,1
185,41660,1
185,30002,1
187,18311,1
187,46325,1
187,2239,1
187,2239,1
187,44238,1
187,46322,1
187,6139,1
191,17168,1
191,42646,1
191,38190,1
192,12241,1
192,12242,1
198,29749,1
199,34011,1
200,11385,1
202,43113,1
202,23011,1
204,4811,1
204,18337,1
204,15722,1
204,130,1
204,13511,1
204,4783,1
204,4825,1
204,12701,1
205,29632,1
205,49199,1
205,32267,1
209,40689,1
209,10305,1
210,36322,1
210,8983,1
211,44487,1
216,5489,1
219,40116,1
219,16031,1
220,39875,1
220,3586,1
220,47436,1
220,47426,1
220,39876,1
220,42408,1
220,47425,1
225,26163,1
225,10544,1
225,5905,1
225,31430,1
225,31430,1
225,26160,1
226,35691,1
226,18931,1
227,42128,1
227,42126,1
227,39874,1
227,20936,1
227,42646,1
228,14308,1
236,14308,1
236,17512,1
236,17512,1
236,278,1
236,20882,1
236,18402,1
236,18402,1
240,26029,1
241,27200,1
241,27204,1
242,25888,1
242,35051,1
246,18942,1
247,17412,1
247,17412,1
247,47912,1
247,47912,1
247,44552,1
247,44552,1
248,56594,1
248,38419,1
249,484,1
249,31037,1
253,10012,1
253,305,1
255,2786,1
255,30530,1
255,26412,1
255,25088,1
255,44238,1
256,41454,1
256,9826,1
258,6481,1
258,31453,1
258,31453,1
258,42593,1
258,43657,1
258,43657,1
258,48569,1
258,46325,1
258,17173,1
258,17173,1
267,23342,1
267,33723,1
267,8013,1
267,10337,1
267,3128,1
267,3126,1
269,46927,1
269,19029,1
271,39201,1
271,39201,1
271,39417,1
271,39417,1
271,30944,1
271,287,1
271,31696,1
271,19286,1
271,347,1
272,32582,1
272,6386,1
273,30867,1
273,27176,1
273,30863,1
273,15832,1
274,33712,1
274,60363,1
274,60363,1
276,38458,1
276,29630,1
276,29630,1
276,29630,1
276,42874,1
276,42874,1
276,3520,1
276,3520,1
276,3520,1
276,43439,1
276,43439,1
276,43439,1
278,29770,1
278,19432,1
278,13481,1
278,32800,1
278,20160,1
278,36395,1
278,32798,1
278,182,1
278,24356,1
280,21631,1
282,27281,1
282,35541,1
283,18411,1
283,8339,1
283,43788,1
283,651,1
283,29862,1
283,18413,1
283,29707,1
283,30578,1
283,30980,1
285,39850,1
289,43112,1
289,43112,1
289,40048,1
290,36017,1
291,46322,1
291,46324,1
291,46325,1
291,46323,1
293,11054,1
293,13099,1
296,24356,1
296,41165,1
296,41166,1
296,13194,1
296,47022,1
296,21984,1
297,33154,1
297,43238,1
300,12970,1
300,41247,1
